Compound,Date,Negative,Neutral,Positive,Tweet,User
-0.743,Tue Aug 21 21:35:11 +0000 2018,0.296,0.704,0.0,"Trump's ex-attorney Michael Cohen pleads guilty to violating campaign finance laws, saying he acted ""in coordinatio… https://t.co/xEayGK5QCy",@CNNbrk
-0.6486,Tue Aug 21 21:16:08 +0000 2018,0.218,0.782,0.0,A man has been arrested in the case of missing college student Mollie Tibbetts after a body believed to be hers was… https://t.co/hT3I893si6,@CNNbrk
-0.8979,Tue Aug 21 21:08:23 +0000 2018,0.391,0.609,0.0,Suspected Golden State Killer Joseph James DeAngelo will be tried on multiple murder counts in a single trial in Sa… https://t.co/HKCHZcFAP7,@CNNbrk
-0.7351,Tue Aug 21 20:44:31 +0000 2018,0.246,0.754,0.0,Former Trump aide Paul Manafort is found guilty on eight counts at his criminal trial. The judge has declared a mis… https://t.co/dIvq3lGzu0,@CNNbrk
0.128,Tue Aug 21 20:38:56 +0000 2018,0.0,0.884,0.116,"The jury in the trial of former Trump campaign chairman Paul Manafort has reached a verdict on eight counts, but ca… https://t.co/AANGWzsL4b",@CNNbrk
0.1531,Tue Aug 21 20:16:00 +0000 2018,0.138,0.691,0.17,A plane carrying Post Malone successfully made an emergency landing after experiencing issues during takeoff… https://t.co/GRLmwH5KZV,@CNNbrk
0.0,Tue Aug 21 19:03:42 +0000 2018,0.0,1.0,0.0,Ex-Trump attorney Michael Cohen surrenders to the FBI ahead of court proceeding where the government is expected to… https://t.co/I6ZctfEfHp,@CNNbrk
0.0,Tue Aug 21 18:06:06 +0000 2018,0.0,1.0,0.0,A private Gulfstream jet has been diverted to a Massachusetts airport after it blew two tires upon takeoff in New J… https://t.co/scKhwFpbtK,@CNNbrk
-0.8074,Tue Aug 21 17:25:38 +0000 2018,0.454,0.546,0.0,Michael Cohen is in talks to plead guilty to criminal charges https://t.co/WulpM6wFuz https://t.co/CIzI7QIagW,@CNNbrk
-0.0191,Tue Aug 21 16:09:34 +0000 2018,0.049,0.951,0.0,Judge tells jurors in the Manafort trial to keep talking after they ask what would happen if they can't reach a ver… https://t.co/xDdOrpa6wC,@CNNbrk
0.0,Tue Aug 21 15:30:03 +0000 2018,0.0,1.0,0.0,Jurors in the Paul Manafort trial have submitted another note to the judge. Follow live updates:… https://t.co/DT9abow5ux,@CNNbrk
0.0,Tue Aug 21 15:09:58 +0000 2018,0.0,1.0,0.0,Update: A news conference is planned for 5 p.m. ET after authorities investigating the disappearance of Mollie Tibb… https://t.co/JcVO0TvNM0,@CNNbrk
0.0,Tue Aug 21 14:56:46 +0000 2018,0.0,1.0,0.0,Authorities investigating the disappearance of Mollie Tibbetts say a body has been discovered in rural Iowa. A news… https://t.co/Kaw1mgz61w,@CNNbrk
0.0,Tue Aug 21 14:36:55 +0000 2018,0.0,1.0,0.0,RT @CNNPolitics: The EPA rolls back Obama-era coal pollution rules as President Trump heads to West Virginia https://t.co/MndqxtrdAp https:…,@CNNbrk
0.0,Tue Aug 21 14:03:38 +0000 2018,0.0,1.0,0.0,"Authorities in Iowa plan a 6 p.m. ET news conference on the search for Mollie Tibbetts, the 20-year-old student las… https://t.co/T71hc7ky1h",@CNNbrk
0.6908,Tue Aug 21 13:46:20 +0000 2018,0.0,0.787,0.213,"RT @CNNMoney: Dow gains 60 points. S&amp;P 500 and Nasdaq advance 0.3%. Charles Schwab, E*Trade sink 4% after JPMorgan unveils free online trad…",@CNNbrk
0.0,Tue Aug 21 11:33:38 +0000 2018,0.0,1.0,0.0,Italian interior minister Salvini refuses to let 177 migrants disembark an Italian Coast Guard ship in Sicily witho… https://t.co/H9BgNULBuu,@CNNbrk
-0.5267,Tue Aug 21 07:15:06 +0000 2018,0.154,0.787,0.059,"Russia will stage the its largest war games since the fall of the Soviet Union next month, the country's Defense Mi… https://t.co/a12NhbxXa8",@CNNbrk
-0.4019,Tue Aug 21 04:36:29 +0000 2018,0.13,0.87,0.0,The Russian group that hacked the Democratic National Committee in 2016 has now targeted US Senate and conservative… https://t.co/fgFq2ahZLA,@CNNbrk
0.0258,Tue Aug 21 02:18:41 +0000 2018,0.136,0.723,0.14,"Senior US official expresses confidence that the master bombmaker behind the ""underwear bomb"" attempt to blow up a… https://t.co/kwOVUUaBd5",@CNNbrk
-0.7717,Tue Aug 21 01:07:52 +0000 2018,0.372,0.628,0.0,Law enforcement authorities are searching for a man who's suspected of threatening to shoot President Trump… https://t.co/srzGxWyU3l,@CNNbrk
-0.6124,Mon Aug 20 23:05:20 +0000 2018,0.192,0.808,0.0,RT @CNNSitRoom: President Trump says he's concerned about potential perjury charges that could be brought against him if he were to sit dow…,@CNNbrk
-0.2023,Mon Aug 20 21:59:13 +0000 2018,0.083,0.917,0.0,"A Colorado man has been charged in the deaths of his pregnant wife and their two young daughters, court filings sho… https://t.co/W3aZ4rSnXx",@CNNbrk
-0.5574,Mon Aug 20 21:02:09 +0000 2018,0.153,0.847,0.0,"At least eight have died after heavy rain caused flooding in the southern Italian region of Calabria, an official t… https://t.co/FDjE3GMYZS",@CNNbrk
0.0,Mon Aug 20 20:36:17 +0000 2018,0.0,1.0,0.0,The President is unnerved he didn't know the full extent of the discussions White House counsel Don McGahn had with… https://t.co/ZtE707rMJt,@CNNbrk
0.1516,Mon Aug 20 20:30:57 +0000 2018,0.112,0.747,0.14,"Trump goes after the Fed again, saying he's ""not thrilled"" with Chairman Powell for raising interest rates… https://t.co/eGUSku6Nl7",@CNNbrk
-0.872,Mon Aug 20 16:58:49 +0000 2018,0.398,0.602,0.0,A helicopter crash in Iraq killed one American service member and injured several other personnel in the coalition… https://t.co/0D6rNJDGt8,@CNNbrk
0.0,Mon Aug 20 14:29:07 +0000 2018,0.0,1.0,0.0,Judge T.S. Ellis is speaking under seal with both teams of lawyers in the Paul Manafort trial as jurors resume deli… https://t.co/dWY4SXjmJc,@CNNbrk
-0.6486,Mon Aug 20 13:02:19 +0000 2018,0.202,0.798,0.0,"Incident involving a knife-wielding man who was shot dead after he entered a police station in Cornella, Spain, is… https://t.co/OU2kyoFs3p",@CNNbrk
-0.8214,Mon Aug 20 11:08:50 +0000 2018,0.256,0.744,0.0,"RT @CNN: JUST IN: Pope Francis addresses latest sexual abuse claims: ""I acknowledge once more the suffering endured by many minors due to s…",@CNNbrk
-0.6705,Mon Aug 20 10:47:37 +0000 2018,0.209,0.791,0.0,"A female shooter and a male employee were shot and killed at a distribution plant in Texas, a Missouri City spokesw… https://t.co/ac3wAi5gJW",@CNNbrk
0.0,Mon Aug 20 10:37:47 +0000 2018,0.0,1.0,0.0,"Taliban insurgents are holding more than 20 bus passengers in Afghanistan's northern province of Kunduz, provincial… https://t.co/qCxWkULmSf",@CNNbrk
0.0,Mon Aug 20 08:55:04 +0000 2018,0.0,1.0,0.0,RT @CNNMoney: Pepsi is buying SodaStream for $3.2 billion https://t.co/L1U9ea5IBD https://t.co/YOo1lDZTr1,@CNNbrk
-0.1027,Mon Aug 20 08:55:00 +0000 2018,0.104,0.896,0.0,RT @CNNMoney: Greece is finally done with its epic bailout binge https://t.co/6ThWRupYqS https://t.co/SnH6EvBluX,@CNNbrk
0.0,Mon Aug 20 02:57:12 +0000 2018,0.0,1.0,0.0,A group of mostly elderly South Koreans crossed into North Korea Monday to reunite with family members many haven't… https://t.co/oa8FYtdR77,@CNNbrk
-0.6705,Mon Aug 20 02:41:20 +0000 2018,0.268,0.732,0.0,"Federal prosecutors are preparing criminal charges against former Trump lawyer Michael Cohen, who is being investig… https://t.co/S4EDoH5pET",@CNNbrk
0.0,Mon Aug 20 01:34:58 +0000 2018,0.0,1.0,0.0,Trump's lawyers didn't ask for and didn't receive a full accounting of what White House counsel Don McGahn told Mue… https://t.co/4ITk0RlFrp,@CNNbrk
0.4215,Mon Aug 20 00:57:49 +0000 2018,0.0,0.877,0.123,A British woman was rescued by the Croatian Coast Guard after spending what she said was close to 10 hours treading… https://t.co/UaabIgYa5d,@CNNbrk
0.0,Sun Aug 19 23:20:05 +0000 2018,0.0,1.0,0.0,Iran's foreign minister says the US has an addiction to sanctions. He also said the nuclear deal could be revived r… https://t.co/ORdJYMOsjO,@CNNbrk
0.0,Sun Aug 19 20:38:30 +0000 2018,0.0,1.0,0.0,"Afghan President announces a monthlong ceasefire against the Taliban, which said it will release hundreds of prison… https://t.co/KkcwT5lf2k",@CNNbrk
-0.128,Sun Aug 19 19:24:21 +0000 2018,0.105,0.813,0.081,A man accused of undressing and fondling a Spirit Airlines passenger while she was asleep has been convicted of sex… https://t.co/pKsQNr6TZW,@CNNbrk
0.34,Sun Aug 19 18:45:06 +0000 2018,0.0,0.882,0.118,"White House national security adviser John Bolton says China, Iran and North Korea meddling in the midterm election… https://t.co/NIXSLt8Hoa",@CNNbrk
-0.4588,Sun Aug 19 16:29:09 +0000 2018,0.165,0.748,0.087,Twitter CEO Jack Dorsey wouldn’t commit to a timetable for cleaning up the social media site overrun by abuse and s… https://t.co/lsJusv7E2v,@CNNbrk
0.0,Sun Aug 19 14:17:52 +0000 2018,0.0,1.0,0.0,"Egyptian President Abdel Fattah el-Sisi signed a new law tightening the government's control of the internet, state… https://t.co/Ed3bCCIkMV",@CNNbrk
-0.8225,Sun Aug 19 13:30:54 +0000 2018,0.368,0.536,0.096,Montana Democratic Gov. Steve Bullock says he “would” support an assault weapons ban: “Everybody wants to keep them… https://t.co/292CgwBGHa,@CNNbrk
0.4767,Sun Aug 19 13:16:53 +0000 2018,0.0,0.853,0.147,Former Director of National Intelligence James Clapper: “The common denominator among all of us that have been spea… https://t.co/WodUGYI1M1,@CNNbrk
-0.4404,Sun Aug 19 01:59:18 +0000 2018,0.127,0.873,0.0,At least 14 people were sent to the hospital Saturday after a storm damaged an Oklahoma concert venue hosting the B… https://t.co/3kseufkWMU,@CNNbrk
-0.5267,Sun Aug 19 01:27:18 +0000 2018,0.206,0.794,0.0,A massive 8.2 magnitude earthquake has struck in the middle of the Pacific. The Pacific Tsunami Warning Center says… https://t.co/947FrdP2Ri,@CNNbrk
0.7906,Sat Aug 18 09:48:15 +0000 2018,0.123,0.514,0.363,"Former UN Secretary-General and Nobel Peace Prize winner Kofi Annan has died at age 80, a UN agency confirms.… https://t.co/w6LtEsEoQN",@CNNbrk
-0.296,Sat Aug 18 02:04:52 +0000 2018,0.099,0.901,0.0,Police say three bodies found this week in Colorado are those of a missing pregnant woman and her two daughters. He… https://t.co/D82tIBKmkQ,@CNNbrk
-0.4404,Sat Aug 18 01:24:50 +0000 2018,0.253,0.531,0.216,Special counsel prosecutors want a six-month sentence for an ex-Trump campaign aide who pleaded guilty to lying to… https://t.co/CQeZDhxd7g,@CNNbrk
-0.3612,Fri Aug 17 22:51:41 +0000 2018,0.128,0.872,0.0,"The funeral for Aretha Franklin will be held August 31 in Detroit, according to the singer's publicist… https://t.co/aqHZTSOmv5",@CNNbrk
-0.4404,Fri Aug 17 22:25:08 +0000 2018,0.221,0.681,0.098,RT @CNNMoney: The Department of Housing and Urban Development is accusing Facebook of violating the Fair Housing Act https://t.co/AtqDi07Oh…,@CNNbrk
0.0,Fri Aug 17 21:12:10 +0000 2018,0.0,1.0,0.0,Judge T.S. Ellis has dismissed the jury in the Manafort trial for the weekend. They return for further deliberation… https://t.co/UCqIWCTR2q,@CNNbrk
-0.6908,Fri Aug 17 19:01:21 +0000 2018,0.241,0.759,0.0,The judge presiding over the trial of Paul Manafort said he's received threats and denied media requests to disclos… https://t.co/0weTUe7mvY,@CNNbrk
-0.34,Fri Aug 17 13:45:16 +0000 2018,0.124,0.876,0.0,"RT @CNNPolitics: President Trump says he canceled the military parade over the ""ridiculously high"" cost estimate https://t.co/4nnPlw4fXR ht…",@CNNbrk
